source,source_type,type,_weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid,_journal
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Kristin Baker,2035-02-07 02:00:00,2035-02-07 02:00:00,2035-02-07,Haacklee Herald,ShadGPT,Vargas-Jensen__0__0__Haacklee Herald,Haacklee Herald
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Kristin Baker,2035-02-07 02:00:00,2035-02-07 02:00:00,2035-02-07,Haacklee Herald,ShadGPT,Vargas-Jensen__0__0__Haacklee Herald,Haacklee Herald
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Fishing,0.5,Wrasse Beds,Entity.Location.Region,Kristin Baker,2035-02-07 02:00:00,2035-02-07 02:00:00,2035-02-07,Haacklee Herald,ShadGPT,Vargas-Jensen__0__0__Haacklee Herald,Haacklee Herald
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Kristin Baker,2035-02-07 02:00:00,2035-02-07 02:00:00,2035-02-07,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily",Lomark Daily
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Harvey Janus,2035-02-07 02:00:00,2035-02-07 02:00:00,2035-02-07,Lomark Daily,ShadGPT,Ramos-Shelton__0__0__Lomark Daily,Lomark Daily
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Jack Inch,2035-02-07 04:00:00,2035-02-07 04:00:00,2035-02-07,The News Buoy,BassLine,Ramos-Shelton__0__0__The News Buoy,The News Buoy
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Jack Inch,2035-02-07 04:00:00,2035-02-07 04:00:00,2035-02-07,The News Buoy,BassLine,Ramos-Shelton__0__0__The News Buoy,The News Buoy
City Of Centralia,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Ramos-Shelton,Entity.Organization.FishingCompany,Jack Inch,2035-02-07 04:00:00,2035-02-07 04:00:00,2035-02-07,The News Buoy,BassLine,Ramos-Shelton__0__0__The News Buoy,The News Buoy
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Ramos-Shelton,Entity.Organization.FishingCompany,Jack Inch,2035-02-07 04:00:00,2035-02-07 04:00:00,2035-02-07,The News Buoy,BassLine,Ramos-Shelton__0__0__The News Buoy,The News Buoy
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Jack Inch,2035-02-07 04:00:00,2035-02-07 04:00:00,2035-02-07,The News Buoy,BassLine,Ramos-Shelton__0__0__The News Buoy,The News Buoy
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,HomabayMarine Carriers N.V.,Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
HomabayMarine Carriers N.V.,Entity.Organization.Company,Event.Criticize,-1.0,Marine Sentinels Initiative,Entity.Organization.NGO,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
HomabayMarine Carriers N.V.,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Don Limpet Preserve,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,Himark Police Reports,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
HomabayMarine Carriers N.V.,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Ghoti Preserve,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,HomabayMarine Carriers N.V.,Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,Himark Police Reports,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
City Of Centralia,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,HomabayMarine Carriers N.V.,Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Pelagia Alethea Mordoch,2035-02-07 05:00:00,2035-02-07 05:00:00,2035-02-07,The News Buoy,ShadGPT,Vargas-Jensen__0__0__The News Buoy,The News Buoy
Martin LLC,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Jack Inch,2035-02-07 06:00:00,2035-02-07 06:00:00,2035-02-07,The News Buoy,ShadGPT,Martin LLC__0__0__The News Buoy,The News Buoy
Martin LLC,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Jack Inch,2035-02-07 06:00:00,2035-02-07 06:00:00,2035-02-07,The News Buoy,ShadGPT,Martin LLC__0__0__The News Buoy,The News Buoy
Martin LLC,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Wrasse Beds,Entity.Location.Region,Jack Inch,2035-02-07 06:00:00,2035-02-07 06:00:00,2035-02-07,The News Buoy,ShadGPT,Martin LLC__0__0__The News Buoy,The News Buoy
Martin LLC,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Jack Inch,2035-02-07 06:00:00,2035-02-07 06:00:00,2035-02-07,The News Buoy,ShadGPT,Martin LLC__0__0__The News Buoy,The News Buoy
Martin LLC,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Jack Inch,2035-02-07 06:00:00,2035-02-07 06:00:00,2035-02-07,The News Buoy,ShadGPT,Martin LLC__0__0__The News Buoy,The News Buoy
Martin LLC,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Wrasse Beds,Entity.Location.Region,Olokun Daramola,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Haacklee Herald,ShadGPT,Martin LLC__0__0__Haacklee Herald,Haacklee Herald
Harrington Inc,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Martin LLC,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Wrasse Beds,Entity.Location.Region,Olokun Daramola,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Haacklee Herald,ShadGPT,Martin LLC__0__0__Haacklee Herald,Haacklee Herald
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Harrington Inc,Entity.Organization.FishingCompany,Event.Fishing,0.5,Tuna Shelf,Entity.Location.Region,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Harrington Inc,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Harrington Inc,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-02-07 07:00:00,2035-02-07 07:00:00,2035-02-07,Lomark Daily,BassLine,Harrington Inc__0__0__Lomark Daily,Lomark Daily
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Worf Peer,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,BassLine,Ramos-Shelton__0__0__Haacklee Herald,Haacklee Herald
Evans-Pearson,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Worf Peer,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,BassLine,Ramos-Shelton__0__0__Haacklee Herald,Haacklee Herald
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Worf Peer,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,BassLine,Ramos-Shelton__0__0__Haacklee Herald,Haacklee Herald
Ramos-Shelton,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Worf Peer,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,BassLine,Ramos-Shelton__0__0__Haacklee Herald,Haacklee Herald
Evans-Pearson,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Evans-Pearson,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
Evans-Pearson,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Evans-Pearson,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
Evans-Pearson,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
Evans-Pearson,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
Evans-Pearson,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-07 08:00:00,2035-02-07 08:00:00,2035-02-07,Haacklee Herald,ShadGPT,Evans-Pearson__0__0__Haacklee Herald,Haacklee Herald
Cisneros-Meyer,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Jack Inch,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,ShadGPT,Cisneros-Meyer__0__0__The News Buoy,The News Buoy
Cisneros-Meyer,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Jack Inch,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,ShadGPT,Cisneros-Meyer__0__0__The News Buoy,The News Buoy
Cisneros-Meyer,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Jack Inch,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,ShadGPT,Cisneros-Meyer__0__0__The News Buoy,The News Buoy
Evans-Pearson,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Olokun Daramola,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,BassLine,Evans-Pearson__0__0__The News Buoy,The News Buoy
Cisneros-Meyer,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Jack Inch,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,ShadGPT,Cisneros-Meyer__0__0__The News Buoy,The News Buoy
Cisneros-Meyer,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Jack Inch,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,ShadGPT,Cisneros-Meyer__0__0__The News Buoy,The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Evans-Pearson,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,BassLine,Evans-Pearson__0__0__The News Buoy,The News Buoy
Cisneros-Meyer,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Jack Inch,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,ShadGPT,Cisneros-Meyer__0__0__The News Buoy,The News Buoy
City Of Centralia,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Evans-Pearson,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-07 10:00:00,2035-02-07 10:00:00,2035-02-07,The News Buoy,BassLine,Evans-Pearson__0__0__The News Buoy,The News Buoy
Cook PLC,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Cook PLC__0__0__Lomark Daily,Lomark Daily
Cook PLC,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Cook PLC__0__0__Lomark Daily,Lomark Daily
Cook PLC,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Cook PLC__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
Cook PLC,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Cook PLC__0__0__Lomark Daily,Lomark Daily
Cook PLC,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Cook PLC__0__0__Lomark Daily,Lomark Daily
Cook PLC,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Cook PLC__0__0__Lomark Daily,Lomark Daily
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
KambalaSea Freight Inc,Entity.Organization.Company,Event.Criticize,-1.0,Oceanus Guardians Alliance,Entity.Organization.NGO,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Harvey Janus,2035-02-07 12:00:00,2035-02-07 12:00:00,2035-02-07,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Paackland Police Reports,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,KambalaSea Freight Inc,Entity.Organization.Company,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Ghoti Preserve,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Paackland Police Reports,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
KambalaSea Freight Inc,Entity.Organization.Company,Event.Criticize,-1.0,Coral Reef Protection Coalition,Entity.Organization.NGO,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Tuna Shelf,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
KambalaSea Freight Inc,Entity.Organization.Company,Event.Criticize,-1.0,Marine Sentinels Initiative,Entity.Organization.NGO,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Worf Peer,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
KambalaSea Freight Inc,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Cod Table,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-07 13:00:00,2035-02-07 13:00:00,2035-02-07,The News Buoy,BassLine,Jones Group__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Olokun Daramola,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Olokun Daramola,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Melinda Manning,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,Lomark Daily,ShadGPT,Vargas-Jensen__0__0__Lomark Daily,Lomark Daily
Harrington Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Olokun Daramola,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
Harrington Inc,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Olokun Daramola,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,The News Buoy,BassLine,Harrington Inc__0__0__The News Buoy,The News Buoy
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Melinda Manning,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,Lomark Daily,ShadGPT,Vargas-Jensen__0__0__Lomark Daily,Lomark Daily
Vargas-Jensen,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Melinda Manning,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,Lomark Daily,ShadGPT,Vargas-Jensen__0__0__Lomark Daily,Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Vargas-Jensen,Entity.Organization.FishingCompany,Melinda Manning,2035-02-07 14:00:00,2035-02-07 14:00:00,2035-02-07,Lomark Daily,ShadGPT,Vargas-Jensen__0__0__Lomark Daily,Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Cook PLC,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-07 16:00:00,2035-02-07 16:00:00,2035-02-07,Haacklee Herald,BassLine,Cook PLC__0__0__Haacklee Herald,Haacklee Herald
