source,source_type,type,weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid
Burns Inc,Entity.Organization.FishingCompany,Event.Communication.Conference,1,York-Castillo,Entity.Organization.FishingCompany,Urashima Tarō,2035-02-27 11:00:00,2035-02-27 11:00:00,2035-02-27,The News Buoy,ShadGPT,Burns Inc__0__0__The News Buoy
Burns Inc,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Urashima Tarō,2035-02-27 11:00:00,2035-02-27 11:00:00,2035-02-27,The News Buoy,ShadGPT,Burns Inc__0__0__The News Buoy
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Jack Inch,2035-02-27 12:00:00,2035-02-27 12:00:00,2035-02-27,Haacklee Herald,ShadGPT,"Brown, Clarke and Martinez__0__0__Haacklee Herald"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Jack Inch,2035-02-27 12:00:00,2035-02-27 12:00:00,2035-02-27,Haacklee Herald,ShadGPT,"Brown, Clarke and Martinez__0__0__Haacklee Herald"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Jack Inch,2035-02-27 12:00:00,2035-02-27 12:00:00,2035-02-27,Haacklee Herald,ShadGPT,"Brown, Clarke and Martinez__0__0__Haacklee Herald"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Wu-Hart,Entity.Organization.FishingCompany,Jack Inch,2035-02-27 12:00:00,2035-02-27 12:00:00,2035-02-27,Haacklee Herald,ShadGPT,"Brown, Clarke and Martinez__0__0__Haacklee Herald"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Transaction,0,Lutz-Fleming,Entity.Organization.FishingCompany,Jack Inch,2035-02-27 12:00:00,2035-02-27 12:00:00,2035-02-27,Haacklee Herald,ShadGPT,"Brown, Clarke and Martinez__0__0__Haacklee Herald"
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Jack Inch,2035-02-27 12:00:00,2035-02-27 12:00:00,2035-02-27,Haacklee Herald,ShadGPT,"Brown, Clarke and Martinez__0__0__Haacklee Herald"
Burns Inc,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Worf Peer,2035-02-27 13:00:00,2035-02-27 13:00:00,2035-02-27,Lomark Daily,ShadGPT,Burns Inc__0__0__Lomark Daily
Burns Inc,Entity.Organization.FishingCompany,Event.Transaction,0,"Collins, Johnson and Lloyd",Entity.Organization.FishingCompany,Worf Peer,2035-02-27 13:00:00,2035-02-27 13:00:00,2035-02-27,Lomark Daily,ShadGPT,Burns Inc__0__0__Lomark Daily
Burns Inc,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Worf Peer,2035-02-27 13:00:00,2035-02-27 13:00:00,2035-02-27,Lomark Daily,ShadGPT,Burns Inc__0__0__Lomark Daily
Burns Inc,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Worf Peer,2035-02-27 13:00:00,2035-02-27 13:00:00,2035-02-27,Lomark Daily,ShadGPT,Burns Inc__0__0__Lomark Daily
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,Hines-Douglas,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 14:00:00,2035-02-27 14:00:00,2035-02-27,Lomark Daily,BassLine,Barnett Ltd__0__0__Lomark Daily
Barnett Ltd,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Haenyeo Hyun-Ki,2035-02-27 14:00:00,2035-02-27 14:00:00,2035-02-27,Lomark Daily,BassLine,Barnett Ltd__0__0__Lomark Daily
Bowers Group,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Harvey Janus,2035-02-27 15:00:00,2035-02-27 15:00:00,2035-02-27,Lomark Daily,ShadGPT,Bowers Group__0__0__Lomark Daily
Bowers Group,Entity.Organization.FishingCompany,Event.Communication.Conference,1,Hughes-Clark,Entity.Organization.FishingCompany,Harvey Janus,2035-02-27 15:00:00,2035-02-27 15:00:00,2035-02-27,Lomark Daily,ShadGPT,Bowers Group__0__0__Lomark Daily
Burns Inc,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Melinda Manning,2035-02-27 17:00:00,2035-02-27 17:00:00,2035-02-27,Haacklee Herald,ShadGPT,Burns Inc__0__0__Haacklee Herald
Burns Inc,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Melinda Manning,2035-02-27 17:00:00,2035-02-27 17:00:00,2035-02-27,Haacklee Herald,ShadGPT,Burns Inc__0__0__Haacklee Herald
Burns Inc,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Melinda Manning,2035-02-27 17:00:00,2035-02-27 17:00:00,2035-02-27,Haacklee Herald,ShadGPT,Burns Inc__0__0__Haacklee Herald
Alvarez PLC,Entity.Organization.FishingCompany,Event.Transaction,0,Cuevas PLC,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Communication.Conference,1,"Blackwell, Clark and Lam",Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
Alvarez PLC,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Alvarez PLC,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,Thompson-Padilla,Entity.Organization.FishingCompany,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
Barnett Ltd,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
City Of Centralia,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Alvarez PLC,Entity.Organization.FishingCompany,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
Barnett Ltd,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
Barnett Ltd,Entity.Organization.FishingCompany,Event.Communication.Conference,1,"Taylor, Prince and Sherman",Entity.Organization.FishingCompany,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
Barnett Ltd,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
"Brown, Clarke and Martinez",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Haenyeo Hyun-Ki,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Lomark Daily,BassLine,"Brown, Clarke and Martinez__0__0__Lomark Daily"
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Olokun Daramola,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,Haacklee Herald,BassLine,Alvarez PLC__0__0__Haacklee Herald
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,Parrish LLC,Entity.Organization.Company,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
Barnett Ltd,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Clepper Jessen,2035-02-27 18:00:00,2035-02-27 18:00:00,2035-02-27,The News Buoy,ShadGPT,Barnett Ltd__0__0__The News Buoy
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Alvarez PLC,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
Alvarez PLC,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1,Alvarez PLC,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
City Of Himark,Entity.Organization.GovernmentOrg,Event.Applaud,1,Alvarez PLC,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
City Of Centralia,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Alvarez PLC,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
Alvarez PLC,Entity.Organization.FishingCompany,Event.Transaction,0,"Blackwell, Clark and Lam",Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-27 19:00:00,2035-02-27 19:00:00,2035-02-27,The News Buoy,ShadGPT,Alvarez PLC__0__0__The News Buoy
Barnett Ltd,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Worf Peer,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,Haacklee Herald,BassLine,Barnett Ltd__0__0__Haacklee Herald
Barnett Ltd,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Worf Peer,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,Haacklee Herald,BassLine,Barnett Ltd__0__0__Haacklee Herald
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Wrasse Beds,Entity.Location.Region,Jack Inch,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,The News Buoy,ShadGPT,Thompson-Padilla__0__0__The News Buoy
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,Ross-Curtis,Entity.Organization.Company,Worf Peer,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,Haacklee Herald,BassLine,Barnett Ltd__0__0__Haacklee Herald
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Jack Inch,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,The News Buoy,ShadGPT,Thompson-Padilla__0__0__The News Buoy
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,Clark-Leon,Entity.Organization.FishingCompany,Jack Inch,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,The News Buoy,ShadGPT,Thompson-Padilla__0__0__The News Buoy
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Jack Inch,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,The News Buoy,ShadGPT,Thompson-Padilla__0__0__The News Buoy
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,"Phelps, Brown and Wallace",Entity.Organization.FishingCompany,Worf Peer,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,Haacklee Herald,BassLine,Barnett Ltd__0__0__Haacklee Herald
Barnett Ltd,Entity.Organization.FishingCompany,Event.Transaction,0,"Massey, King and Quinn",Entity.Organization.Company,Worf Peer,2035-02-27 20:00:00,2035-02-27 20:00:00,2035-02-27,Haacklee Herald,BassLine,Barnett Ltd__0__0__Haacklee Herald
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.Applaud,1,Alvarez PLC,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
Alvarez PLC,Entity.Organization.FishingCompany,Event.Transaction,0,"Bell, Reynolds and Forbes",Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
Alvarez PLC,Entity.Organization.FishingCompany,Event.Transaction,0,"Coleman, Thompson and Huber",Entity.Organization.Company,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
Alvarez PLC,Entity.Organization.FishingCompany,Event.Transaction,0,"Collins, Johnson and Lloyd",Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1,Alvarez PLC,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
Alvarez PLC,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Junior Shurdlu,2035-02-27 22:00:00,2035-02-27 22:00:00,2035-02-27,Lomark Daily,ShadGPT,Alvarez PLC__0__0__Lomark Daily
Bowers Group,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Bowers Group,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Bowers Group,Entity.Organization.FishingCompany,Event.Transaction,0,Barnes and Sons,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Bowers Group,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Bowers Group,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Bowers Group,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Bowers Group,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Tuna Shelf,Entity.Location.Region,Haenyeo Hyun-Ki,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Haacklee Herald,BassLine,Bowers Group__0__0__Haacklee Herald
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,"Nguyen, Marsh and Hall",Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,"Vasquez, Chaney and Martinez",Entity.Organization.FishingCompany,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,"James, Bell and Chen",Entity.Organization.Company,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Tuna Shelf,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Wrasse Beds,Entity.Location.Region,Pelagia Alethea Mordoch,2035-02-28 00:00:00,2035-02-28 00:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,Clark-Leon,Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-28 01:00:00,2035-02-28 01:00:00,2035-02-28,The News Buoy,BassLine,Thompson-Padilla__0__0__The News Buoy
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-28 01:00:00,2035-02-28 01:00:00,2035-02-28,The News Buoy,BassLine,Thompson-Padilla__0__0__The News Buoy
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Transaction,0,Smith-Hull,Entity.Organization.FishingCompany,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Communication.Conference,1,Barnett Ltd,Entity.Organization.FishingCompany,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Wrasse Beds,Entity.Location.Region,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Transaction,0,Watson-Gray,Entity.Organization.FishingCompany,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Kristin Baker,2035-02-28 06:00:00,2035-02-28 06:00:00,2035-02-28,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
"Cooper, Holland and Nelson",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Jack Inch,2035-02-28 08:00:00,2035-02-28 08:00:00,2035-02-28,Haacklee Herald,BassLine,"Cooper, Holland and Nelson__0__0__Haacklee Herald"
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-28 08:00:00,2035-02-28 08:00:00,2035-02-28,Haacklee Herald,ShadGPT,Thompson-Padilla__0__0__Haacklee Herald
"Cooper, Holland and Nelson",Entity.Organization.FishingCompany,Event.Communication.Conference,1,Davis-Boyd,Entity.Organization.FishingCompany,Jack Inch,2035-02-28 08:00:00,2035-02-28 08:00:00,2035-02-28,Haacklee Herald,BassLine,"Cooper, Holland and Nelson__0__0__Haacklee Herald"
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-28 08:00:00,2035-02-28 08:00:00,2035-02-28,Haacklee Herald,ShadGPT,Thompson-Padilla__0__0__Haacklee Herald
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Communication.Conference,1,"Glover, Moran and Johnson",Entity.Organization.FishingCompany,Haenyeo Hyun-Ki,2035-02-28 08:00:00,2035-02-28 08:00:00,2035-02-28,Haacklee Herald,ShadGPT,Thompson-Padilla__0__0__Haacklee Herald
"Cooper, Holland and Nelson",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Jack Inch,2035-02-28 08:00:00,2035-02-28 08:00:00,2035-02-28,Haacklee Herald,BassLine,"Cooper, Holland and Nelson__0__0__Haacklee Herald"
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,Evans Ltd,Entity.Organization.Company,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,Jefferson Inc,Entity.Organization.Company,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
Thompson-Padilla,Entity.Organization.FishingCompany,Event.Transaction,0,Frey Inc,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-28 09:00:00,2035-02-28 09:00:00,2035-02-28,Lomark Daily,ShadGPT,Thompson-Padilla__0__0__Lomark Daily
"Cooper, Holland and Nelson",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Harvey Janus,2035-02-28 13:00:00,2035-02-28 13:00:00,2035-02-28,The News Buoy,ShadGPT,"Cooper, Holland and Nelson__0__0__The News Buoy"
